Date,CumCases,CumDeaths,CumVaccinations
21/07/2020,34734,4944,
20/07/2020,34694,4939,
19/07/2020,34635,4935,
18/07/2020,34585,4931,
17/07/2020,34498,4928,
16/07/2020,34455,4924,
15/07/2020,34391,4921,
14/07/2020,34347,4917,
13/07/2020,34305,4910,
12/07/2020,34247,4905,
11/07/2020,34183,4902,
10/07/2020,34090,4896,
09/07/2020,34029,4891,
08/07/2020,33980,4882,
07/07/2020,33917,4877,
06/07/2020,33863,4872,
05/07/2020,33819,4866,
04/07/2020,33776,4863,
03/07/2020,33705,4853,
02/07/2020,33650,4849,
01/07/2020,33587,4842,
30/06/2020,22850,4837,
29/06/2020,22821,4832,
28/06/2020,22803,4827,
27/06/2020,22783,4818,
26/06/2020,22764,4810,
25/06/2020,22734,4802,
24/06/2020,22668,4793,
23/06/2020,22640,4783,
22/06/2020,22599,4776,
21/06/2020,22581,4770,
20/06/2020,22548,4764,
19/06/2020,22499,4757,
18/06/2020,22464,4748,
17/06/2020,22403,4743,
16/06/2020,22377,4733,
15/06/2020,22354,4720,
14/06/2020,22308,4713,
13/06/2020,22272,4703,
12/06/2020,22217,4692,
11/06/2020,22179,4684,
10/06/2020,22125,4675,
09/06/2020,22090,4660,
08/06/2020,22013,4643,
07/06/2020,21997,4631,
06/06/2020,21951,4616,
05/06/2020,21859,4605,
04/06/2020,21823,4589,
03/06/2020,21763,4570,
02/06/2020,21679,4549,
01/06/2020,21631,4523,
31/05/2020,21597,4504,
30/05/2020,21545,4485,
29/05/2020,21467,4462,
28/05/2020,21405,4438,
27/05/2020,21339,4416,
26/05/2020,21235,4391,
25/05/2020,21172,4362,
24/05/2020,21092,4346,
23/05/2020,20982,4320,
22/05/2020,20816,4288,
21/05/2020,20637,4250,
20/05/2020,20510,4232,
19/05/2020,20414,4192,
18/05/2020,20328,4163,
17/05/2020,20225,4131,
16/05/2020,20071,4101,
15/05/2020,19935,4068,
14/05/2020,19776,4030,
13/05/2020,19606,3981,
12/05/2020,19449,3943,
11/05/2020,19344,3899,
10/05/2020,19237,3860,
09/05/2020,19119,3828,
08/05/2020,18932,3773,
07/05/2020,18696,3730,
06/05/2020,18509,3683,
05/05/2020,17999,3641,
04/05/2020,17756,3590,
03/05/2020,17537,3530,
02/05/2020,17324,3498,
01/05/2020,17095,3442,
30/04/2020,16831,3367,
29/04/2020,16559,3311,
28/04/2020,16323,3242,
27/04/2020,16128,3174,
26/04/2020,15810,3113,
25/04/2020,15453,3036,
24/04/2020,14974,2945,
23/04/2020,14412,2852,
22/04/2020,14053,2764,
21/04/2020,13656,2680,
20/04/2020,12878,2590,
19/04/2020,12563,2475,
18/04/2020,11885,2365,
17/04/2020,11471,2287,
16/04/2020,,2179,
15/04/2020,,2090,
14/04/2020,,2002,
13/04/2020,,1905,
12/04/2020,,1803,
11/04/2020,,1687,
10/04/2020,,1577,
09/04/2020,,1467,
08/04/2020,,1339,
07/04/2020,,1228,
06/04/2020,,1110,
05/04/2020,,1008,
04/04/2020,,905,
03/04/2020,,791,
02/04/2020,,708,
01/04/2020,,627,
31/03/2020,,544,
30/03/2020,,474,
29/03/2020,,401,
28/03/2020,,341,
27/03/2020,,299,
26/03/2020,,253,
25/03/2020,,208,
24/03/2020,,169,
23/03/2020,,139,
22/03/2020,,113,
21/03/2020,,86,
20/03/2020,,72,
19/03/2020,,57,
18/03/2020,,49,
17/03/2020,,36,
16/03/2020,,28,
15/03/2020,,20,
14/03/2020,,12,
13/03/2020,,9,
12/03/2020,,7,
11/03/2020,,7,
10/03/2020,,6,
09/03/2020,,5,
08/03/2020,,4,
07/03/2020,,3,
06/03/2020,,3,
05/03/2020,,3,
04/03/2020,,1,
03/03/2020,,1,
